serviceId,serviceSlug,serviceName,diyGuideId,diySlug,primary,safetyClass,publicationStatus,wordCountEN,wordCountAR,imageStatus,mappingStatus,notes
cmtu4kxxo002aut9oh8c9r8hd,cleaning-services,Cleaning Services,cmtu4l17d0001utg45pje5df0,diy-cleaning-services,true,GREEN,published,1559,1273,webp_ok,PRIMARY_DIY_ARTICLE_EXISTS,Canonical primary per coveragePrimaryGuideSlug.
cmtu4kxxv002eut9orut809zv,building-maintenance,General Building Maintenance,cmtu4l1i3004tutg4jqn08w3h,diy-shell-building-maintenance,true,YELLOW,published,1459,1185,webp_ok,PRIMARY_DIY_ARTICLE_EXISTS,Canonical primary per coveragePrimaryGuideSlug.
cmtu4kxxz002iut9oh4tq51h9,plumbing-maintenance,Plumbing Maintenance,cmtu4kzb101z0ut9o4cf7wmg6,how-to-fix-dripping-faucet,true,YELLOW,published,1227,1009,webp_ok,PRIMARY_DIY_ARTICLE_EXISTS,Canonical primary per coveragePrimaryGuideSlug.
cmtu4kxy5002mut9oylg9s74u,electrical-maintenance,Electrical Maintenance,cmtu4l1ii004xutg46ko9i6s3,diy-shell-electrical-maintenance,true,RED,published,1476,1205,webp_ok,PRIMARY_DIY_ARTICLE_EXISTS,Canonical primary per coveragePrimaryGuideSlug.
cmtu4kxy9002qut9ohkptlo79,ac-maintenance,AC / Air Conditioning Maintenance,cmtu4l1ir0051utg4m0dn2hw6,diy-shell-ac-maintenance,true,YELLOW,published,1500,1187,webp_ok,PRIMARY_DIY_ARTICLE_EXISTS,Canonical primary per coveragePrimaryGuideSlug.
cmtu4kxyd002uut9owgzltkql,painting-services,Painting Services,cmtu4l1j00055utg41qs2ujkb,diy-shell-painting-services,true,YELLOW,published,1451,1221,webp_ok,PRIMARY_DIY_ARTICLE_EXISTS,Canonical primary per coveragePrimaryGuideSlug.
cmtu4kxyh002yut9owqw7djxf,wall-maintenance,Wall Maintenance & Repair,cmtu4l1ja0059utg4c7ksw97l,diy-shell-wall-maintenance,true,YELLOW,published,1477,1196,webp_ok,PRIMARY_DIY_ARTICLE_EXISTS,Canonical primary per coveragePrimaryGuideSlug.
cmtu4kxzj0046ut9opctilof7,swimming-pool-maintenance,Swimming Pool Cleaning & Maintenance,cmtu4l1jj005dutg4uu576sss,diy-shell-swimming-pool-maintenance,true,YELLOW,published,1511,1219,webp_ok,PRIMARY_DIY_ARTICLE_EXISTS,Canonical primary per coveragePrimaryGuideSlug.
cmtu4kxzr004eut9oolqa9gkv,sauna-maintenance,Sauna Room Maintenance & Cleaning,cmtu4l1js005hutg4oxhl1102,diy-shell-sauna-maintenance,true,YELLOW,published,1476,1220,webp_ok,PRIMARY_DIY_ARTICLE_EXISTS,Canonical primary per coveragePrimaryGuideSlug.
cmtu4kxzo004aut9o2yfhhuj1,water-tank-cleaning,Water Tank Cleaning & Maintenance,cmtu4l1k1005lutg4z4fw1nfx,diy-shell-water-tank-cleaning,true,YELLOW,published,1487,1195,webp_ok,PRIMARY_DIY_ARTICLE_EXISTS,Canonical primary per coveragePrimaryGuideSlug.
,refrigerator,refrigerator,,,false,YELLOW,n/a,0,0,n/a,NEEDS_PRIMARY_CREATION,MISSING_HUB in coverage registry; diyGuidanceType from matrix; do not invent shell. Service row missing.
,microwave,microwave,,,false,YELLOW,n/a,0,0,n/a,NEEDS_PRIMARY_CREATION,MISSING_HUB in coverage registry; diyGuidanceType from matrix; do not invent shell. Service row missing.
,washing-machine,washing-machine,,,false,YELLOW,n/a,0,0,n/a,NEEDS_PRIMARY_CREATION,MISSING_HUB in coverage registry; diyGuidanceType from matrix; do not invent shell. Service row missing.
,water-heater,water-heater,,,false,YELLOW,n/a,0,0,n/a,NEEDS_PRIMARY_CREATION,MISSING_HUB in coverage registry; diyGuidanceType from matrix; do not invent shell. Service row missing.
,dishwasher,dishwasher,,,false,YELLOW,n/a,0,0,n/a,NEEDS_PRIMARY_CREATION,MISSING_HUB in coverage registry; diyGuidanceType from matrix; do not invent shell. Service row missing.
