name,slug,area,action,riskLevel,diyAvailable,duplicateCheck,regulatoryReview,reason
AC Isolator Installation,ac-isolator-installation,connections,ADD,RED,false,unique,standard,AC isolator — building electrical
Backup Generator Changeover Inspection,backup-generator-changeover-inspection,other,ADD,REVIEW_REQUIRED,false,unique,required,Generator ATS/changeover; specialized
Breaker Tripping Diagnosis,breaker-tripping-diagnosis,diagnosis,ADD,YELLOW,true,unique,standard,Distinct from short-circuit diagnosis
Building Electrical Preventive Maintenance,building-electrical-preventive-maintenance,preventive,ADD,YELLOW,true,unique,standard,Scheduled building electrical PM
Burning Smell Electrical Investigation,burning-smell-electrical-investigation,emergency,ADD,RED,false,unique,standard,High-risk investigation; no DIY procedure
Cable Replacement,cable-replacement,wiring,ADD,RED,false,unique,standard,Cable run replacement
Cable Tray Installation,cable-tray-installation,commercial,ADD,RED,false,unique,standard,Commercial containment
Ceiling Fan Installation,ceiling-fan-installation,fans,ADD,RED,false,unique,standard,Ceiling fan mount/electrical
Ceiling Fan Repair,ceiling-fan-repair,fans,ADD,YELLOW,true,unique,standard,Fan repair intent
Ceiling Fan Replacement,ceiling-fan-replacement,fans,ADD,RED,false,unique,standard,Full fan swap
Ceiling Light Installation,ceiling-light-installation,lighting,ADD,RED,false,unique,standard,Fixture-specific install
Chandelier Installation,chandelier-installation,lighting,ADD,RED,false,unique,standard,Heavy fixture / structural fixings
Circuit Breaker Inspection,circuit-breaker-inspection,existing,KEEP,YELLOW,true,unique,standard,Existing approved baseline service
Circuit Breaker Replacement,circuit-breaker-replacement,existing,KEEP,RED,false,unique,standard,Existing approved baseline service
Commercial Electrical Maintenance,commercial-electrical-maintenance,commercial,ADD,YELLOW,true,unique,standard,Commercial property electrical
Common Area Electrical Maintenance,common-area-electrical-maintenance,building,ADD,YELLOW,true,unique,standard,Shared-area electrical maintenance
Concealed Wiring Installation,concealed-wiring-installation,wiring,ADD,REVIEW_REQUIRED,false,unique,required,In-wall works; higher risk/regulatory
Contactor Replacement,contactor-replacement,controls,ADD,RED,false,unique,standard,Control gear replacement
Cooker Electrical Connection,cooker-electrical-connection,connections,ADD,REVIEW_REQUIRED,false,unique,required,Cooker circuit connection; safety review
DB Labeling and Circuit Mapping,db-labeling-and-circuit-mapping,distribution,ADD,YELLOW,true,unique,standard,Documentation / identification service
Dedicated Circuit Installation,dedicated-circuit-installation,wiring,ADD,RED,false,unique,standard,New circuit from DB
Dimmer Switch Installation,dimmer-switch-installation,sockets-switches,ADD,RED,false,unique,standard,Distinct switch type install
Dimmer Switch Repair,dimmer-switch-repair,sockets-switches,ADD,YELLOW,true,unique,standard,Dimmer-specific fault
Distribution Board Inspection,distribution-board-inspection,existing,KEEP,REVIEW_REQUIRED,false,unique,required,Existing approved baseline service
Distribution Board Installation,distribution-board-installation,distribution,ADD,REVIEW_REQUIRED,false,unique,required,Major DB work; authorized contractors
Distribution Board Repair,distribution-board-repair,distribution,ADD,RED,false,unique,standard,DB corrective work
Distribution Board Upgrade,distribution-board-upgrade,distribution,ADD,REVIEW_REQUIRED,false,unique,required,Capacity/upgrade scope
Doorbell Installation,doorbell-installation,other,ADD,YELLOW,true,unique,standard,Low-voltage/doorbell install
Doorbell Repair,doorbell-repair,other,ADD,GREEN,true,unique,standard,Often low-risk observation/simple repair path
Downlight Installation,downlight-installation,lighting,ADD,RED,false,unique,standard,Recessed lighting scope
Downlight Replacement,downlight-replacement,lighting,ADD,YELLOW,true,unique,standard,Like-for-like recessed swap when safe
Earthing Inspection,earthing-inspection,earthing,ADD,YELLOW,true,unique,standard,Earthing health check
Earthing Repair,earthing-repair,earthing,ADD,RED,false,unique,standard,Protective earth work requires qualified work
