record,type,blocker,remediable,remediationPerformed,finalEligibility,note
ALL_UNCOVERED_x63351,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,aggregate row — every uncovered pair shares this blocker
villa-cleaning/dubai-marina,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
villa-cleaning/al-majaz-1,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
villa-cleaning/al-ain,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
villa-cleaning/yas-island,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
villa-cleaning/ajman-city,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
faucet-repair/dubai-marina,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
faucet-repair/al-majaz-1,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
faucet-repair/al-ain,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
faucet-repair/yas-island,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
faucet-repair/ajman-city,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
socket-repair/dubai-marina,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
socket-repair/al-majaz-1,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
socket-repair/al-ain,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
socket-repair/yas-island,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
socket-repair/ajman-city,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
ac-servicing/dubai-marina,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
ac-servicing/al-majaz-1,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
