serviceId,oldName,newName,oldSlug,newSlug,oldCategory,newCategory,action,reason,riskLevel,diyAvailable,duplicateStatus,legacyStatus,seoStatus,finalStatus,kind,electricalArea
prop-1,Cleaning Services,Cleaning Services,cleaning,cleaning-services,cleaning,cleaning,KEEP,Existing approved parent category — keep; no split/merge without stronger reason,YELLOW,false,parent-hub,n/a-audit,proposed,proposed-approved,parent,
prop-2,General Building Maintenance,General Building Maintenance,general-maintenance,building-maintenance,general-maintenance,general-maintenance,KEEP,Existing approved parent category — keep; no split/merge without stronger reason,YELLOW,false,parent-hub,n/a-audit,proposed,proposed-approved,parent,
prop-3,Plumbing Maintenance,Plumbing Maintenance,plumbing,plumbing-maintenance,plumbing,plumbing,KEEP,Existing approved parent category — keep; no split/merge without stronger reason,YELLOW,false,parent-hub,n/a-audit,proposed,proposed-approved,parent,
prop-4,Electrical Maintenance,Electrical Maintenance,electrical,electrical-maintenance,electrical,electrical,KEEP,Existing approved parent category — keep; no split/merge without stronger reason,YELLOW,false,parent-hub,n/a-audit,proposed,proposed-approved,parent,
prop-5,AC / Air Conditioning Maintenance,AC / Air Conditioning Maintenance,ac,ac-maintenance,ac,ac,KEEP,Existing approved parent category — keep; no split/merge without stronger reason,YELLOW,false,parent-hub,n/a-audit,proposed,proposed-approved,parent,
prop-6,Painting Services,Painting Services,painting,painting-services,painting,painting,KEEP,Existing approved parent category — keep; no split/merge without stronger reason,YELLOW,false,parent-hub,n/a-audit,proposed,proposed-approved,parent,
prop-7,Wall Maintenance & Repair,Wall Maintenance & Repair,walls,wall-maintenance,walls,walls,KEEP,Existing approved parent category — keep; no split/merge without stronger reason,YELLOW,false,parent-hub,n/a-audit,proposed,proposed-approved,parent,
prop-8,Swimming Pool Cleaning & Maintenance,Swimming Pool Cleaning & Maintenance,swimming-pool,swimming-pool-maintenance,swimming-pool,swimming-pool,KEEP,Existing approved parent category — keep; no split/merge without stronger reason,YELLOW,false,parent-hub,n/a-audit,proposed,proposed-approved,parent,
prop-9,Sauna Room Cleaning & Maintenance,Sauna Room Cleaning & Maintenance,sauna,sauna-maintenance,sauna,sauna,KEEP,Existing approved parent category — keep; no split/merge without stronger reason,YELLOW,false,parent-hub,n/a-audit,proposed,proposed-approved,parent,
prop-10,Water Tank Cleaning & Maintenance,Water Tank Cleaning & Maintenance,water-tank,water-tank-cleaning,water-tank,water-tank,KEEP,Existing approved parent category — keep; no split/merge without stronger reason,YELLOW,false,parent-hub,n/a-audit,proposed,proposed-approved,parent,
prop-11,Refrigerator Maintenance / Repair,Refrigerator Maintenance / Repair,refrigerator,refrigerator,refrigerator,refrigerator,KEEP,Existing approved parent category — keep; no split/merge without stronger reason,YELLOW,false,parent-hub,n/a-audit,proposed,proposed-approved,parent,
prop-12,Microwave Maintenance / Repair,Microwave Maintenance / Repair,microwave,microwave,microwave,microwave,KEEP,Existing approved parent category — keep; no split/merge without stronger reason,YELLOW,false,parent-hub,n/a-audit,proposed,proposed-approved,parent,
prop-13,Washing Machine Maintenance / Repair,Washing Machine Maintenance / Repair,washing-machine,washing-machine,washing-machine,washing-machine,KEEP,Existing approved parent category — keep; no split/merge without stronger reason,YELLOW,false,parent-hub,n/a-audit,proposed,proposed-approved,parent,
prop-14,Water Heater Maintenance / Repair,Water Heater Maintenance / Repair,water-heater,water-heater,water-heater,water-heater,KEEP,Existing approved parent category — keep; no split/merge without stronger reason,YELLOW,false,parent-hub,n/a-audit,proposed,proposed-approved,parent,
prop-15,Dishwasher Maintenance / Repair,Dishwasher Maintenance / Repair,dishwasher,dishwasher,dishwasher,dishwasher,KEEP,Existing approved parent category — keep; no split/merge without stronger reason,YELLOW,false,parent-hub,n/a-audit,proposed,proposed-approved,parent,
prop-16,Gym Cleaning & Maintenance,Gym Cleaning & Maintenance,gym,gym-cleaning-maintenance,gym,gym,KEEP,Existing approved parent category — keep; no split/merge without stronger reason,YELLOW,false,parent-hub,n/a-audit,proposed,proposed-approved,parent,
prop-17,Oven Maintenance / Repair,Oven Maintenance / Repair,oven,oven,oven,oven,KEEP,Existing approved parent category — keep; no split/merge without stronger reason,YELLOW,false,parent-hub,n/a-audit,proposed,proposed-approved,parent,
prop-18,Burner / Cooker Maintenance / Repair,Burner / Cooker Maintenance / Repair,burner-cooker,burner-cooker,burner-cooker,burner-cooker,KEEP,Existing approved parent category — keep; no split/merge without stronger reason,YELLOW,false,parent-hub,n/a-audit,proposed,proposed-approved,parent,
prop-19,,AC Capacitor Replacement,,ac-capacitor-replacement,ac,ac,ADD,Live capacitor work — RED,RED,false,unique,n/a-audit,proposed,proposed-approved,child,
prop-20,AC Cleaning,AC Cleaning,ac-cleaning,ac-cleaning,ac,ac,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-21,AC Cooling Problem Diagnosis,AC Cooling Problem Diagnosis,ac-cooling-problem-diagnosis,ac-cooling-problem-diagnosis,ac,ac,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-22,AC Drain Cleaning,AC Drain Cleaning,ac-drain-cleaning,ac-drain-cleaning,ac,ac,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-23,AC Drain Pipe Repair,AC Drain Pipe Repair,ac-drain-pipe-repair,ac-drain-pipe-repair,ac,ac,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-24,AC Filter Cleaning,AC Filter Cleaning,ac-filter-cleaning,ac-filter-cleaning,ac,ac,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-25,AC Gas Check,AC Gas Check,ac-gas-check,ac-gas-check,ac,ac,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-26,AC Gas Recharge,AC Gas Recharge,ac-gas-recharge,ac-gas-recharge,ac,ac,KEEP,Existing approved baseline service,RED,false,unique,n/a-audit,proposed,proposed-approved,child,
prop-27,AC Inspection,AC Inspection,ac-inspection,ac-inspection,ac,ac,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-28,AC Installation,AC Installation,ac-installation,ac-installation,ac,ac,KEEP,Existing approved baseline service,RED,false,unique,n/a-audit,proposed,proposed-approved,child,
prop-29,AC Noise Problem Diagnosis,AC Noise Problem Diagnosis,ac-noise-problem-diagnosis,ac-noise-problem-diagnosis,ac,ac,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-30,,AC PCB Diagnosis,,ac-pcb-diagnosis,ac,ac,ADD,Board-level diagnosis,RED,false,unique,n/a-audit,proposed,proposed-approved,child,
prop-31,AC Preventive Maintenance,AC Preventive Maintenance,ac-preventive-maintenance,ac-preventive-maintenance,ac,ac,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
