num,parentCategory,serviceOffering,serviceSlug,kind,diyStatus,riskLevel,guidanceType,primaryDiyGuide,existingGuide,existingGuideStatus,safetyReview,arabicReview,professionalFallback,reason,primaryGuideLogic,ambiguous
1,"Cleaning Services","Cleaning Services [PARENT]","cleaning-services",parent,GREEN,green,step-by-step,"how-to-clean-a-bathroom",yes,draft,required,review-required,optional,"Cleaning practical posture; existing bathroom draft is related — may need broader hub (B/C)",B,yes
2,"General Building Maintenance","General Building Maintenance [PARENT]","building-maintenance",parent,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,review-required,required,"Handyman hub — observation + stop for structural/electrical/gas/height",C,no
3,"Plumbing Maintenance","Plumbing Maintenance [PARENT]","plumbing-maintenance",parent,YELLOW,yellow,limited-troubleshooting,"how-to-fix-dripping-faucet",yes,published,required,review-required,required,"Parent hub; primary published faucet guide (A); unclog is related",A,no
4,"Electrical Maintenance","Electrical Maintenance [PARENT]","electrical-maintenance",parent,RED,red,safety-only,"TBD",no,none,required,required,required,"Electrical default RED posture — observation/stop/CTA only",C,no
5,"AC / Air Conditioning Maintenance","AC / Air Conditioning Maintenance [PARENT]","ac-maintenance",parent,YELLOW,yellow,limited-troubleshooting,"how-to-clean-ac-filter",yes,published,required,review-required,required,"AC hub; primary published filter guide; refrigerant/electrical remain RED children",A,no
6,"Painting Services","Painting Services [PARENT]","painting-services",parent,YELLOW,yellow,limited-troubleshooting,"how-to-touch-up-interior-paint",yes,draft,required,review-required,optional,"Painting hub; draft touch-up guide as primary candidate",A,no
7,"Wall Maintenance & Repair","Wall Maintenance & Repair [PARENT]","wall-maintenance",parent,YELLOW,yellow,limited-troubleshooting,"how-to-check-a-small-wall-crack",yes,draft,required,required,required,"Walls hub; draft crack-check observation guide",A,no
8,"Swimming Pool Cleaning & Maintenance","Swimming Pool Cleaning & Maintenance [PARENT]","swimming-pool-maintenance",parent,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Pool hub — skimming/visual OK candidates; chemicals/equipment electrical RED/RR",C,no
9,"Sauna Room Cleaning & Maintenance","Sauna Room Cleaning & Maintenance [PARENT]","sauna-maintenance",parent,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Sauna hub — cleaning GREEN candidates; heater electrical/gas RED",C,no
10,"Water Tank Cleaning & Maintenance","Water Tank Cleaning & Maintenance [PARENT]","water-tank-cleaning",parent,YELLOW,yellow,safety-only,"TBD",no,none,required,required,required,"Tank hub — exterior visual only; confined/chem RED/RR",C,no
