record,type,safetyClass,blocker,remediable,remediationPerformed,finalEligibility,contentGaps,status,profileStatus
diy-ac-cleaning,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_140|ar_words_81,draft,draft
diy-ac-cooling-problem-diagnosis,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_146|ar_words_81,draft,draft
diy-ac-drain-cleaning,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_143|ar_words_81,draft,draft
diy-ac-drain-pipe-repair,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_135|ar_words_81,draft,draft
diy-ac-gas-check,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-ac-gas-recharge,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-ac-inspection,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_140|ar_words_81,draft,draft
diy-ac-installation,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_131|ar_words_81,draft,draft
diy-ac-maintenance,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_130|ar_words_81,draft,draft
diy-ac-noise-problem-diagnosis,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_146|ar_words_81,draft,draft
diy-ac-preventive-maintenance,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_143|ar_words_81,draft,draft
diy-ac-replacement,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_131|ar_words_81,draft,draft
diy-ac-servicing,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_140|ar_words_81,draft,draft
diy-ac-water-leakage-repair,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_135|ar_words_81,draft,draft
diy-apartment-maintenance,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_139|ar_words_81,draft,draft
diy-apartment-painting,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_144|ar_words_81,draft,draft
diy-building-common-area-cleaning,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_122|ar_words_81,draft,draft
diy-building-maintenance,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_131|ar_words_81,draft,draft
diy-cabinet-and-hardware-repair,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_145|ar_words_81,draft,draft
diy-carpet-cleaning,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_116|ar_words_81,draft,draft
diy-ceiling-painting,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_144|ar_words_81,draft,draft
diy-central-ac-maintenance,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-circuit-breaker-inspection,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-circuit-breaker-replacement,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-commercial-building-maintenance,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_128|ar_words_81,draft,draft
diy-commercial-painting,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_144|ar_words_81,draft,draft
diy-commercial-water-tank-cleaning,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_135|ar_words_81,draft,draft
diy-common-area-maintenance,DIY,REVIEW_REQUIRED,REVIEW_REQUIRED — required human safety review not completed; cannot invent approval,false,none — REVIEW_REQUIRED not bypassed,blocked,en_words_94|ar_words_81,draft,safety_review
diy-cooker-igniter-repair,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-cooker-knob-replacement,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_145|ar_words_81,draft,draft
diy-corrective-building-maintenance,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_142|ar_words_81,draft,draft
diy-cross-trainer-maintenance,DIY,REVIEW_REQUIRED,REVIEW_REQUIRED — required human safety review not completed; cannot invent approval,false,none — REVIEW_REQUIRED not bypassed,blocked,en_words_92|ar_words_81,draft,safety_review
diy-damp-wall-repair,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-decorative-painting,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_144|ar_words_81,draft,draft
diy-deep-cleaning,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_121|ar_words_81,draft,draft
diy-dishwasher-control-panel-diagnosis,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_135|ar_words_81,draft,draft
diy-dishwasher-door-lock-repair,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_144|ar_words_81,draft,draft
diy-dishwasher-door-seal-replacement,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_144|ar_words_81,draft,draft
diy-dishwasher-drainage-problem,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_141|ar_words_81,draft,draft
diy-dishwasher-heating-problem,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-dishwasher-inspection,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_138|ar_words_81,draft,draft
