#,Service,Service riskLevel,Service diyAvailable,Matrix status,Matrix risk,Existing guide,Conflict type,Class,Recommended action,Confidence,Proposed risk,Proposed diyAvailable,Public SL count
1,ac-drain-pipe-repair,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
2,ac-filter-cleaning,yellow,false,GREEN,green,,service_stricter_than_matrix,E_NO_CHANGE_REQUIRED,"Keep service risk (stricter). Matrix still authoritative for display/eval via matrix loader; do not downgrade.",high,,,0
3,ac-gas-check,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
4,ac-gas-recharge,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
5,ac-installation,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
6,ac-replacement,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
7,ac-water-leakage-repair,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
8,apartment-cleaning,yellow,false,GREEN,green,,service_stricter_than_matrix,E_NO_CHANGE_REQUIRED,"Keep service risk (stricter). Matrix still authoritative for display/eval via matrix loader; do not downgrade.",high,,,0
9,bathroom-cleaning,yellow,false,GREEN,green,,service_stricter_than_matrix,E_NO_CHANGE_REQUIRED,"Keep service risk (stricter). Matrix still authoritative for display/eval via matrix loader; do not downgrade.",high,,,0
10,burner-cooker,yellow,false,RED,red,,missing_service_record,C_SAFETY_CRITICAL,"Create/repair service record — STOP",high,,,0
11,central-ac-maintenance,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
12,circuit-breaker-inspection,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
13,circuit-breaker-replacement,yellow,false,RED,red,,upward_align_yellow_to_red,A_SAFE_ALIGNMENT,"set riskLevel=red; set diyAvailable=false",high,red,false,0
